City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,santa cruz,-17.8,-63.1667,24.03,88,75,2.06,BO,1687974672
117,hukumati azrah,34.1736,69.6457,19.25,68,62,1.13,AF,1687974704
118,yaren,-0.5472,166.916,27.57,79,81,5.28,NR,1687974705
119,luganville,-15.5333,167.1667,21.23,77,92,1.57,VU,1687974705
120,coquimbo,-29.9533,-71.3436,15.85,72,0,4.63,CL,1687974470
121,gunupur,19.0833,83.8167,28.32,79,100,0.23,IN,1687974705
122,inirida,3.8653,-67.9239,25.97,81,99,1.16,CO,1687974706
123,plymouth,41.8334,-70.8328,25.92,77,75,4.12,US,1687974706
124,hilo,19.7297,-155.09,23.68,83,0,0.89,US,1687974484
125,broken hill,-31.95,141.4333,6.23,90,2,4.41,AU,1687974706
126,hamilton,39.1834,-84.5333,29.01,58,0,2.06,US,1687974488
127,umba,66.6871,34.3429,9.95,77,82,4.96,RU,1687974707
128,darwin,-12.4611,130.8418,25.99,83,100,1.03,AU,1687974707
129,prince rupert,54.3161,-130.3201,19.05,76,75,8.23,CA,1687974638
130,gowurdak,37.8124,66.0466,30.14,15,0,5.94,TM,1687974707
131,touros,-5.1989,-35.4608,26.23,86,47,7.14,BR,1687974708
132,thompson,55.7435,-97.8558,19.09,82,75,3.6,CA,1687974708
133,west island,-12.1568,96.8225,25.99,73,75,5.14,CC,1687974708
134,stanley,54.868,-1.6985,18.17,90,75,2.57,GB,1687974708
135,kidal,18.4411,1.4078,41.55,10,31,5.39,ML,1687974708
136,okha,53.5739,142.9478,8.02,96,96,3.77,RU,1687974709
137,la passe,45.5549,-0.8967,28.13,61,7,5.29,FR,1687974709
138,tazovsky,67.4667,78.7,9.51,75,88,3.82,RU,1687974709
139,yellowknife,62.456,-114.3525,25.29,50,75,3.6,CA,1687974443
140,kingston,17.997,-76.7936,34.02,61,20,4.12,JM,1687974495
141,"laikit, laikit ii (dimembe)",1.4792,124.9735,23.47,94,40,1.03,ID,1687974710
142,yerofey pavlovich,53.9667,121.9667,14.76,98,99,1.45,RU,1687974710
143,saldanha,-33.0117,17.9442,13.03,80,81,2.38,ZA,1687974710
144,qarqaraly,49.4058,75.4742,8.96,83,40,3.11,KZ,1687974710
145,rameswaram,9.2833,79.3,28.61,81,44,11.1,IN,1687974710
146,floro,61.5996,5.0328,18.04,77,75,3.09,NO,1687974711
147,mount pearl,47.5166,-52.7813,25.19,73,75,4.63,CA,1687974475
148,nova sintra,14.8667,-24.7167,21.45,78,4,6.33,CV,1687974711
149,kapa'a,22.0752,-159.319,26.18,87,100,6.69,US,1687974711
150,kavalerovo,44.2661,135.0572,17.12,100,100,0.75,RU,1687974712
